pid,qtr,min,sec,dwn,yds,pts,player,type
829302,2,13,15,1,8,7,JG-2900,REC
829431,1,11,57,2,23,7,AT-0350,REC
829441,1,8,28,2,19,7,DC-3550,RUSH
829482,2,4,42,2,1,7,KC-2350,RUSH
829530,3,0,34,1,7,7,DC-3550,RUSH
829548,4,9,25,4,20,6,CR-0862,REC
829573,4,1,9,1,2,6,JJ-4700,REC
829586,1,10,38,3,1,7,MI-0100,RUSH
829593,1,8,46,1,47,7,MB-4075,REC
829604,1,4,28,3,83,7,MB-4075,REC
829620,2,13,56,2,33,7,WS-0925,REC
829637,2,6,56,3,5,7,MB-3325,REC
829653,2,1,46,1,2,7,MI-0100,RUSH
829663,2,0,18,1,6,7,PW-1150,REC
829684,3,7,58,2,1,7,PR-0125,REC
829716,4,9,30,4,3,7,MA-1050,REC
829750,1,10,42,1,17,6,CM-3250,INT
829837,3,7,6,3,9,8,LB-0250,REC
829865,4,10,27,1,3,7,JA-1087,RUSH
829883,4,3,7,3,38,7,JB-6950,REC
829904,1,13,36,3,68,7,SW-0450,REC
829925,1,5,31,3,35,7,DC-1418,REC
829933,1,2,45,1,49,7,SW-0450,REC
830002,3,2,28,1,1,7,DW-3125,RUSH
830019,4,11,2,2,3,7,SW-0450,REC
830028,4,7,40,2,15,6,DW-2275,REC
830049,4,2,0,1,21,7,CC-3950,REC
830103,2,12,50,2,5,7,MB-3862,RUSH
830158,3,8,31,1,8,7,CM-1225,RUSH
830175,3,2,54,3,1,7,MB-3862,RUSH
830195,4,13,15,2,2,7,CM-1225,RUSH
830211,4,6,42,2,5,7,TH-1550,REC
830229,4,2,0,1,1,7,AA-0557,RUSH
830245,1,10,18,1,4,6,DH-3137,RUSH
830287,2,9,42,2,1,7,DH-2450,RUSH
830351,3,2,13,1,3,7,DN-1225,REC
830354,3,2,10,1,75,7,DH-2450,REC
830367,4,12,39,1,11,7,DW-0500,REC
830376,4,9,9,1,7,7,DW-0500,REC
830394,4,3,11,1,38,7,MB-5250,INT
830410,1,11,8,3,48,7,VD-0100,REC
830446,2,10,7,2,69,7,TM-2275,REC
830462,2,4,27,3,51,7,DJ-0200,REC
830497,3,7,54,3,5,7,AJ-0430,REC
830507,3,5,15,3,53,7,DJ-0200,REC
830522,4,15,0,1,2,8,AJ-0430,RUSH
830570,4,0,12,2,4,7,TQ-0100,REC
830628,2,6,39,1,1,7,CC-0750,RUSH
830633,2,5,20,1,33,7,JR-3280,REC
830649,2,0,59,3,10,7,CC-0750,REC
830655,2,0,16,2,55,7,JR-3280,REC
830692,4,15,0,1,44,7,TL-1025,REC
830757,1,3,0,2,1,7,AE-0550,REC
830773,2,10,6,3,4,6,TH-1850,REC
830782,2,6,6,3,28,7,KA-0650,REC
830819,3,8,38,1,55,7,AE-0550,REC
830823,3,7,51,1,63,7,MM-0050,RUSH
830869,4,0,48,2,19,8,TH-1850,REC
830887,5,5,5,1,7,6,AE-0550,RUSH
830932,2,12,34,2,47,7,DA-0900,REC
830950,2,3,45,1,9,7,KG-0650,REC
831013,4,14,56,3,23,7,TH-1875,REC
831041,4,6,4,1,27,7,DJ-1325,REC
831062,4,0,47,1,4,8,LF-0200,REC
831119,1,8,11,1,1,7,EE-0400,REC
831132,1,3,25,2,28,7,BJ-0950,REC
831151,2,10,23,1,4,7,JW-6000,REC
